BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
17040;1199;6;t;;time;t aI m;;;;;;;
18240;1439;6;aI;;time;t aI m;;;;;;;
19680;719;6;m;;time;t aI m;;;;;;;
20400;719;7;w;;with;w I D;;;;;;;
21120;719;7;I;;with;w I D;;;;;;;
21840;719;7;D;;with;w I D;;;;;;;
22560;1439;-1;<p:>;;;;;;;;;;
24000;719;8;w;;World;w 3` l d;;;;;;;
24720;1679;8;3`;;World;w 3` l d;;;;;;;
26400;719;8;l;;World;w 3` l d;;;;;;;
27120;719;9;R;;Wrestling;R E s l I N;;;;;;;
27840;719;9;E;;Wrestling;R E s l I N;;;;;;;
28560;719;9;s;;Wrestling;R E s l I N;;;;;;;
29280;719;9;l;;Wrestling;R E s l I N;;;;;;;
30000;719;9;I;;Wrestling;R E s l I N;;;;;;;
30720;719;9;N;;Wrestling;R E s l I N;;;;;;;
31440;959;10;E;;Entertainment;E n t 3` t eI n m V n t;;;;;;;
32400;719;10;n;;Entertainment;E n t 3` t eI n m V n t;;;;;;;
33120;719;10;t;;Entertainment;E n t 3` t eI n m V n t;;;;;;;
33840;1199;10;3`;;Entertainment;E n t 3` t eI n m V n t;;;;;;;
35040;719;10;t;;Entertainment;E n t 3` t eI n m V n t;;;;;;;
35760;959;10;eI;;Entertainment;E n t 3` t eI n m V n t;;;;;;;
36720;719;10;n;;Entertainment;E n t 3` t eI n m V n t;;;;;;;
37440;719;10;m;;Entertainment;E n t 3` t eI n m V n t;;;;;;;
38160;719;10;V;;Entertainment;E n t 3` t eI n m V n t;;;;;;;
38880;719;10;n;;Entertainment;E n t 3` t eI n m V n t;;;;;;;
39600;959;11;d;;WWE;d V b l j u: d V b l j u: i:;;;;;;;
