BEGIN;DURATION;TOKEN;MAU;MAS;ORT;KAN;TRO;MRP;KAS;SPK;TRN;SPD;VAD
89040;1199;6;n;;Lesnar;l E s n 3`;;;;;;;
90240;2159;6;3`;;Lesnar;l E s n 3`;;;;;;;
92400;2159;7;d;;defeated;d I f i: t V d;;;;;;;
94560;1439;7;I;;defeated;d I f i: t V d;;;;;;;
96000;2639;7;f;;defeated;d I f i: t V d;;;;;;;
98640;2879;7;i:;;defeated;d I f i: t V d;;;;;;;
101520;2399;7;t;;defeated;d I f i: t V d;;;;;;;
103920;1439;7;V;;defeated;d I f i: t V d;;;;;;;
105360;2399;7;d;;defeated;d I f i: t V d;;;;;;;
107760;1919;-1;<p:>;;;;;;;;;;
109680;2159;8;D;;The;D V;;;;;;;
111840;719;8;V;;The;D V;;;;;;;
112560;2159;9;?;;Undertaker;V n d 3` t eI k 3`;;;;;;;
114720;1439;9;V;;Undertaker;V n d 3` t eI k 3`;;;;;;;
116160;1199;9;n;;Undertaker;V n d 3` t eI k 3`;;;;;;;
117360;719;9;d;;Undertaker;V n d 3` t eI k 3`;;;;;;;
118080;1439;9;3`;;Undertaker;V n d 3` t eI k 3`;;;;;;;
119520;3359;9;t;;Undertaker;V n d 3` t eI k 3`;;;;;;;
122880;2159;9;eI;;Undertaker;V n d 3` t eI k 3`;;;;;;;
125040;2879;9;k;;Undertaker;V n d 3` t eI k 3`;;;;;;;
127920;2159;9;3`;;Undertaker;V n d 3` t eI k 3`;;;;;;;
130080;3599;10;t;;to;t u:;;;;;;;
133680;2519;10;u:;;to;t u:;;;;;;;
136200;2999;11;E;;end;E n d;;;;;;;
139200;2639;11;n;;end;E n d;;;;;;;
141840;3119;12;h;;his;h I z;;;;;;;
144960;1439;12;I;;his;h I z;;;;;;;
146400;2399;12;z;;his;h I z;;;;;;;
148800;1199;-1;<p:>;;;;;;;;;;
150000;1919;13;V;;undefeated;V n d I f i: t I d;;;;;;;
151920;959;13;n;;undefeated;V n d I f i: t I d;;;;;;;
152880;1199;13;d;;undefeated;V n d I f i: t I d;;;;;;;
154080;959;13;I;;undefeated;V n d I f i: t I d;;;;;;;
155040;2639;13;f;;undefeated;V n d I f i: t I d;;;;;;;
157680;2879;13;i:;;undefeated;V n d I f i: t I d;;;;;;;
160560;2399;13;t;;undefeated;V n d I f i: t I d;;;;;;;
162960;1919;13;I;;undefeated;V n d I f i: t I d;;;;;;;
164880;1439;13;d;;undefeated;V n d I f i: t I d;;;;;;;
166320;2159;14;s;;streak;s t R i: k;;;;;;;
168480;2639;14;t;;streak;s t R i: k;;;;;;;
171120;719;14;R;;streak;s t R i: k;;;;;;;
171840;1919;14;i:;;streak;s t R i: k;;;;;;;
173760;959;14;k;;streak;s t R i: k;;;;;;;
174720;2159;-1;<p:>;;;;;;;;;;
176880;3119;15;{;;at;{ t;;;;;;;
180000;959;15;t;;at;{ t;;;;;;;
180960;1679;-1;<p:>;;;;;;;;;;
182640;719;16;D;;the;D V;;;;;;;
183360;959;16;V;;the;D V;;;;;;;
184320;1439;-1;<p:>;;;;;;;;;;
185760;1919;17;p;;premier;p R E m I R;;;;;;;
187680;719;17;R;;premier;p R E m I R;;;;;;;
188400;719;17;E;;premier;p R E m I R;;;;;;;
189120;1679;17;m;;premier;p R E m I R;;;;;;;
190800;1919;17;I;;premier;p R E m I R;;;;;;;
192720;1679;17;6;;premier;p R E m I R;;;;;;;
194400;2399;-1;<p:>;;;;;;;;;;
196800;2639;18;{;;annual;{ n j u: V l;;;;;;;
199440;719;18;n;;annual;{ n j u: V l;;;;;;;
200160;1919;18;j;;annual;{ n j u: V l;;;;;;;
202080;959;18;u:;;annual;{ n j u: V l;;;;;;;
203040;1199;18;V;;annual;{ n j u: V l;;;;;;;
204240;1439;18;l;;annual;{ n j u: V l;;;;;;;
205680;959;19;I;;event;I v E n t;;;;;;;
206640;2159;19;v;;event;I v E n t;;;;;;;
208800;2879;19;E;;event;I v E n t;;;;;;;
211680;959;19;n;;event;I v E n t;;;;;;;
212640;2399;19;t;;event;I v E n t;;;;;;;
215040;13631;-1;<p:>;;;;;;;;;;
